Name;Category;Action;Block Keywords;Block File Types;Bandwidth Optimizer
1New - Default;Advocacy Groups;Block;false;;Do not block based on bandwidth
1New - Default;Alcohol and Tobacco;Block;false;;Do not block based on bandwidth
1New - Default;Alternative Journals;Block;false;;Do not block based on bandwidth
1New - Default;Application and Software Download;Block;false;;Do not block based on bandwidth
1New - Default;Bandwidth;Block;false;;Do not block based on bandwidth
1New - Default;Blog Commenting;Block;false;;Do not block based on bandwidth
1New - Default;Blog Posting;Block;false;;Do not block based on bandwidth
1New - Default;Blogs and Personal Sites;Block;false;;Do not block based on bandwidth
1New - Default;Bot Networks;Block;false;;Do not block based on bandwidth
1New - Default;Business and Economy;Permit;false;;Do not block based on bandwidth
1New - Default;Classifieds Posting;Block;false;;Do not block based on bandwidth
1New - Default;Collaboration - Office;Block;false;;Do not block based on bandwidth
1New - Default;Compromised Websites;Block;false;;Do not block based on bandwidth
1New - Default;Computer Security;Block;false;;Do not block based on bandwidth
1New - Default;Content Delivery Networks;Permit;false;;Do not block based on bandwidth
1New - Default;Cultural Institutions;Block;false;;Do not block based on bandwidth
1New - Default;Custom-Encrypted Uploads;Block;false;;Do not block based on bandwidth
1New - Default;Drugs;Block;false;;Do not block based on bandwidth
1New - Default;Dynamic Content;Block;false;;Do not block based on bandwidth
1New - Default;Dynamic DNS;Block;false;;Do not block based on bandwidth
1New - Default;Education;Permit;false;;Do not block based on bandwidth
1New - Default;Educational Institutions;Block;false;;Do not block based on bandwidth
1New - Default;Educational Materials;Block;false;;Do not block based on bandwidth
1New - Default;Educational Video;Permit;false;;Do not block based on bandwidth
1New - Default;Elevated Exposure;Block;false;;Do not block based on bandwidth
1New - Default;Emerging Exploits;Block;false;;Do not block based on bandwidth
1New - Default;Entertainment;Block;false;;Do not block based on bandwidth
1New - Default;Entertainment Video;Block;false;;Do not block based on bandwidth
1New - Default;Extended Protection;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Apps;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Chat;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Commenting;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Events;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Friends;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Games;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Groups;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Mail;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Photo Upload;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Posting;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Questions;Block;false;;Do not block based on bandwidth
1New - Default;Facebook Video Upload;Block;false;;Do not block based on bandwidth
1New - Default;File Download Servers;Block;false;;Do not block based on bandwidth
1New - Default;Files Containing Passwords;Block;false;;Do not block based on bandwidth
1New - Default;Financial Data and Services;Block;false;;Do not block based on bandwidth
1New - Default;Gambling;Block;false;;Do not block based on bandwidth
1New - Default;Games;Block;false;;Do not block based on bandwidth
1New - Default;Gay or Lesbian or Bisexual Interest;Block;false;;Do not block based on bandwidth
1New - Default;General Email;Block;false;;Do not block based on bandwidth
1New - Default;Government;Block;false;;Do not block based on bandwidth
1New - Default;Hacking;Block;false;;Do not block based on bandwidth
1New - Default;HC Unblocked;Permit;false;;Do not block based on bandwidth
1New - Default;Health;Block;false;;Do not block based on bandwidth
1New - Default;Hobbies;Block;false;;Do not block based on bandwidth
1New - Default;Hosted Business Applications;Block;false;;Do not block based on bandwidth
1New - Default;Illegal or Questionable;Block;false;;Do not block based on bandwidth
1New - Default;Information Technology;Block;false;;Do not block based on bandwidth
1New - Default;Instant Messaging;Block;false;;Do not block based on bandwidth
1New - Default;Internet Auctions;Block;false;;Do not block based on bandwidth
1New - Default;Internet Communication;Block;false;;Do not block based on bandwidth
1New - Default;Internet Radio and TV;Block;false;;Do not block based on bandwidth
1New - Default;Internet Telephony;Block;false;;Do not block based on bandwidth
1New - Default;Intolerance;Block;false;;Do not block based on bandwidth
1New - Default;Job Search;Block;false;;Do not block based on bandwidth
1New - Default;Keyloggers;Block;false;;Do not block based on bandwidth
1New - Default;Lingerie and Swimsuit;Block;false;;Do not block based on bandwidth
1New - Default;LinkedIn Connections;Block;false;;Do not block based on bandwidth
1New - Default;LinkedIn Jobs;Block;false;;Do not block based on bandwidth
1New - Default;LinkedIn Mail;Block;false;;Do not block based on bandwidth
1New - Default;LinkedIn Updates;Block;false;;Do not block based on bandwidth
1New - Default;Malicious Embedded iFrame;Block;false;;Do not block based on bandwidth
1New - Default;Malicious Embedded Link;Block;false;;Do not block based on bandwidth
1New - Default;Malicious Web Sites;Block;false;;Do not block based on bandwidth
1New - Default;Marijuana;Block;false;;Do not block based on bandwidth
1New - Default;Media File Download;Block;false;;Do not block based on bandwidth
1New - Default;Message Boards and Forums;Block;false;;Do not block based on bandwidth
1New - Default;Militancy and Extremist;Block;false;;Do not block based on bandwidth
1New - Default;Military;Block;false;;Do not block based on bandwidth
1New - Default;Miscellaneous;Block;false;;Do not block based on bandwidth
1New - Default;Mobile Malware;Block;false;;Do not block based on bandwidth
1New - Default;Network Errors;Block;false;;Do not block based on bandwidth
1New - Default;Newly Registered Websites;Block;false;;Do not block based on bandwidth
1New - Default;News and Media;Block;false;;Do not block based on bandwidth
1New - Default;Non-Traditional Religions;Block;false;;Do not block based on bandwidth
1New - Default;Nudity;Block;false;;Do not block based on bandwidth
1New - Default;Nutrition;Block;false;;Do not block based on bandwidth
1New - Default;Office - Apps;Block;false;;Do not block based on bandwidth
1New - Default;Office - Documents;Block;false;;Do not block based on bandwidth
1New - Default;Office - Drive;Block;false;;Do not block based on bandwidth
1New - Default;Office - Mail;Block;false;;Do not block based on bandwidth
1New - Default;Online Brokerage and Trading;Block;false;;Do not block based on bandwidth
1New - Default;Organizational Email;Block;false;;Do not block based on bandwidth
1New - Default;Parked Domain;Block;false;;Do not block based on bandwidth
1New - Default;Pay-to-Surf;Block;false;;Do not block based on bandwidth
1New - Default;Peer-to-Peer File Sharing;Block;false;;Do not block based on bandwidth
1New - Default;Personal Network Storage and Backup;Block;false;;Do not block based on bandwidth
1New - Default;Personals and Dating;Block;false;;Do not block based on bandwidth
1New - Default;Phishing and Other Frauds;Block;false;;Do not block based on bandwidth
1New - Default;Political Organizations;Block;false;;Do not block based on bandwidth
1New - Default;Potentially Exploited Documents;Block;false;;Do not block based on bandwidth
1New - Default;Potentially Unwanted Software;Block;false;;Do not block based on bandwidth
1New - Default;Prescribed Medications;Block;false;;Do not block based on bandwidth
1New - Default;Private IP Addresses;Permit;false;;Do not block based on bandwidth
1New - Default;Pro-Choice;Block;false;;Do not block based on bandwidth
1New - Default;Productivity;Block;false;;Do not block based on bandwidth
1New - Default;Professional and Worker Organizations;Block;false;;Do not block based on bandwidth
1New - Default;Pro-Life;Block;false;;Do not block based on bandwidth
1New - Default;Proxy Avoidance;Block;false;;Do not block based on bandwidth
1New - Default;Real Estate;Block;false;;Do not block based on bandwidth
1New - Default;Reference Materials;Block;false;;Do not block based on bandwidth
1New - Default;Religion;Block;false;;Do not block based on bandwidth
1New - Default;Restaurants and Dining;Block;false;;Do not block based on bandwidth
1New - Default;Search Engines and Portals;Block;false;;Do not block based on bandwidth
1New - Default;Security;Block;false;;Do not block based on bandwidth
1New - Default;Service and Philanthropic Organizations;Block;false;;Do not block based on bandwidth
1New - Default;Sex;Block;false;;Do not block based on bandwidth
1New - Default;Sex Education;Block;false;;Do not block based on bandwidth
1New - Default;Shopping;Block;false;;Do not block based on bandwidth
1New - Default;Social and Affiliation Organizations;Block;false;;Do not block based on bandwidth
1New - Default;Social Networking;Block;false;;Do not block based on bandwidth
1New - Default;Social Organizations;Block;false;;Do not block based on bandwidth
1New - Default;Social Web - Facebook;Block;false;;Do not block based on bandwidth
