Name;Protocol;Action;Log Protocol;Bandwidth Optimizer
Block All bar HTTPS;AOL Instant Messenger or ICQ;Block;true;Do not block based on bandwidth
Block All bar HTTPS;AOL Instant Messenger or ICQ attachments;Block;false;Do not block based on bandwidth
Block All bar HTTPS;AOL Radio;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Ares;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Badongo Buddy;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Baidu Hi;Block;true;Do not block based on bandwidth
Block All bar HTTPS;BBC iPlayer;Block;true;Do not block based on bandwidth
Block All bar HTTPS;BeInSync;Block;false;Do not block based on bandwidth
Block All bar HTTPS;BitTorrent;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Bot Networks;Block;false;Do not block based on bandwidth
Block All bar HTTPS;BoxCloud;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Brosix;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Camfrog;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Chikka Messenger;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Citrix;Block;false;Do not block based on bandwidth
Block All bar HTTPS;ClipMoon;Block;true;Do not block based on bandwidth
Block All bar HTTPS;ClubBox;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Comodo EasyVPN;Block;false;Do not block based on bandwidth
Block All bar HTTPS;CrossLoop;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Dailymotion;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Damaka;Block;true;Do not block based on bandwidth
Block All bar HTTPS;daytime;Block;false;Do not block based on bandwidth
Block All bar HTTPS;DirectConnect;Block;true;Do not block based on bandwidth
Block All bar HTTPS;eDonkey;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Email Borne Worms;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Eyeball Chat;Block;true;Do not block based on bandwidth
Block All bar HTTPS;EZPeer;Block;true;Do not block based on bandwidth
Block All bar HTTPS;FastTrack (Kazaa iMesh);Block;true;Do not block based on bandwidth
Block All bar HTTPS;Finetune;Block;true;Do not block based on bandwidth
Block All bar HTTPS;finger;Block;false;Do not block based on bandwidth
Block All bar HTTPS;FolderShare;Block;true;Do not block based on bandwidth
Block All bar HTTPS;FTP;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Gadu-Gadu;Block;true;Do not block based on bandwidth
Block All bar HTTPS;GhostSurf;Block;true;Do not block based on bandwidth
Block All bar HTTPS;GigaTribe;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Gizmo Project;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Globe7;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Gmail Chat (WSG Only);Block;true;Do not block based on bandwidth
Block All bar HTTPS;Gnutella (Morpheus Xolox);Block;true;Do not block based on bandwidth
Block All bar HTTPS;Goober Messenger;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Google Talk;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Google Video;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Google Wave (WSG Only);Block;true;Do not block based on bandwidth
Block All bar HTTPS;Google Web Accelerator;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Gopher;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Hamachi;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Hopster;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Hotline Connect;Block;true;Do not block based on bandwidth
Block All bar HTTPS;HTTP;Permit;false;Do not block based on bandwidth
Block All bar HTTPS;HTTPS;Permit;false;Do not block based on bandwidth
Block All bar HTTPS;Hulu;Block;true;Do not block based on bandwidth
Block All bar HTTPS;ident;Block;false;Do not block based on bandwidth
Block All bar HTTPS;IMAP;Block;false;Do not block based on bandwidth
Block All bar HTTPS;IMVU;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Instant Housecall;Block;false;Do not block based on bandwidth
Block All bar HTTPS;IRC;Block;true;Do not block based on bandwidth
Block All bar HTTPS;iSpQ;Block;true;Do not block based on bandwidth
Block All bar HTTPS;iTunes;Block;true;Do not block based on bandwidth
Block All bar HTTPS;JAP;Block;true;Do not block based on bandwidth
Block All bar HTTPS;JetCast;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Joost;Block;true;Do not block based on bandwidth
Block All bar HTTPS;LDAP;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Liquid Audio;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Live Mesh;Block;true;Do not block based on bandwidth
Block All bar HTTPS;LogMeIn;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Lotus Notes;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Mail.Ru;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Meetro;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Metacafe;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Microsoft HTTPMail;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Mikogo;Block;false;Do not block based on bandwidth
Block All bar HTTPS;MindSpring;Block;true;Do not block based on bandwidth
Block All bar HTTPS;MSC Messenger;Block;true;Do not block based on bandwidth
Block All bar HTTPS;MSN Messenger;Block;true;Do not block based on bandwidth
Block All bar HTTPS;MSN Messenger attachments;Block;false;Do not block based on bandwidth
Block All bar HTTPS;MyGreenPC;Block;false;Do not block based on bandwidth
Block All bar HTTPS;MyIVO;Block;false;Do not block based on bandwidth
Block All bar HTTPS;MyPlay;Block;true;Do not block based on bandwidth
Block All bar HTTPS;MySpaceIM;Block;true;Do not block based on bandwidth
Block All bar HTTPS;MySpace Player;Block;true;Do not block based on bandwidth
Block All bar HTTPS;NateOn;Block;true;Do not block based on bandwidth
Block All bar HTTPS;NateOn Messenger Attachments;Block;false;Do not block based on bandwidth
Block All bar HTTPS;NateOn Remote Access;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Neos;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Netease Popo;Block;true;Do not block based on bandwidth
Block All bar HTTPS;netFM Messenger;Block;true;Do not block based on bandwidth
Block All bar HTTPS;NetMeeting;Block;false;Do not block based on bandwidth
Block All bar HTTPS;NFS;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Nimbuzz;Block;true;Do not block based on bandwidth
Block All bar HTTPS;NNTP;Block;false;Do not block based on bandwidth
Block All bar HTTPS;NTP;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Octoshape;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Onshare;Block;true;Do not block based on bandwidth
Block All bar HTTPS;OpenWindows;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Opera Unite;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Orsiso;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Other;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Palringo;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Paltalk;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Pando;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Pandora;Block;true;Do not block based on bandwidth
Block All bar HTTPS;pcANYWHERE;Block;false;Do not block based on bandwidth
Block All bar HTTPS;pcTELECOMMUTE;Block;false;Do not block based on bandwidth
Block All bar HTTPS;PeerCast;Block;true;Do not block based on bandwidth
Block All bar HTTPS;POP3;Block;false;Do not block based on bandwidth
Block All bar HTTPS;pptp;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Project Neon;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Qnext;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Raketu;Block;true;Do not block based on bandwidth
Block All bar HTTPS;RealTunnel;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Remote Control PC;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Revver;Block;true;Do not block based on bandwidth
Block All bar HTTPS;RTSP (QuickTime RealPlayer);Block;true;Do not block based on bandwidth
Block All bar HTTPS;ShareNow;Block;true;Do not block based on bandwidth
Block All bar HTTPS;SHOUTcast;Block;true;Do not block based on bandwidth
Block All bar HTTPS;SIMP (Jabber);Block;true;Do not block based on bandwidth
Block All bar HTTPS;Skype;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Slingbox;Block;true;Do not block based on bandwidth
Block All bar HTTPS;SMTP;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Social FM;Block;true;Do not block based on bandwidth
Block All bar HTTPS;SOCKS 5;Block;false;Do not block based on bandwidth
Block All bar HTTPS;SocksOnline;Block;true;Do not block based on bandwidth
Block All bar HTTPS;SoftEther PacketiX;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Solid State Delivery Platform;Block;true;Do not block based on bandwidth
Block All bar HTTPS;SoonR;Block;false;Do not block based on bandwidth
Block All bar HTTPS;SoulSeek;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Spotify;Block;true;Do not block based on bandwidth
Block All bar HTTPS;SQL Net;Block;false;Do not block based on bandwidth
Block All bar HTTPS;ssh;Block;false;Do not block based on bandwidth
Block All bar HTTPS;TeamViewer;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Telnet;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Tencent QQ (see the Knowledge Base);Block;true;Do not block based on bandwidth
Block All bar HTTPS;Terminal Services;Block;false;Do not block based on bandwidth
Block All bar HTTPS;TongTongTong;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Toonel;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Tor;Block;true;Do not block based on bandwidth
Block All bar HTTPS;TryFast Messenger;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Vimeo;Block;true;Do not block based on bandwidth
Block All bar HTTPS;VNC;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Voxox;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Vyew;Block;false;Do not block based on bandwidth
Block All bar HTTPS;VZOchat;Block;true;Do not block based on bandwidth
Block All bar HTTPS;WAIS;Block;true;Do not block based on bandwidth
Block All bar HTTPS;WallCooler VPN;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Wavago;Block;true;Do not block based on bandwidth
Block All bar HTTPS;WebEx (PCNow & Support Center);Block;false;Do not block based on bandwidth
Block All bar HTTPS;Wengo;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Windows Media;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Woize;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Xfire;Block;true;Do not block based on bandwidth
Block All bar HTTPS;X-IM;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Yahoo! Mail Chat;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Yahoo! Messenger;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Yahoo! Messenger attachments;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Your Freedom;Block;true;Do not block based on bandwidth
Block All bar HTTPS;YouSendIt;Block;true;Do not block based on bandwidth
Block All bar HTTPS;Yuuguu;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Zolved;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Access Grid;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Adobe Updater (WSG Only);Block;false;Do not block based on bandwidth
CallCentre - no internet access;AOL Instant Messenger or ICQ;Block;true;Do not block based on bandwidth
CallCentre - no internet access;AOL Instant Messenger or ICQ attachments;Block;false;Do not block based on bandwidth
CallCentre - no internet access;AOL Radio;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Ares;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Badongo Buddy;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Baidu Hi;Block;true;Do not block based on bandwidth
CallCentre - no internet access;BBC iPlayer;Block;true;Do not block based on bandwidth
CallCentre - no internet access;BeInSync;Block;false;Do not block based on bandwidth
CallCentre - no internet access;BitTorrent;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Bot Networks;Block;false;Do not block based on bandwidth
CallCentre - no internet access;BoxCloud;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Brosix;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Camfrog;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Chikka Messenger;Block;true;Do not block based on bandwidth
